City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,3.61,78,62,10.28,TF,1702249718
1,saipan,15.1355,145.701,28.39,78,20,6.17,MP,1702249462
2,nemuro,43.3236,145.575,-1.38,52,18,4.26,JP,1702249719
3,ribeira grande,38.5167,-28.7,17.65,78,54,9.39,PT,1702249719
4,namibe,-15.1961,12.1522,22.53,76,82,2.27,AO,1702249719
5,papatowai,-46.5619,169.4708,15.7,44,31,4.3,NZ,1702249719
6,monahans,31.5943,-102.8926,14.38,21,3,4.59,US,1702249719
7,kuressaare,58.2481,22.5039,0.53,99,100,5.14,EE,1702249719
8,port mathurin,-19.6833,63.4167,26.07,77,62,3.66,MU,1702249720
9,grytviken,-54.2811,-36.5092,5.64,91,100,6.8,GS,1702249720
10,ilulissat,69.2167,-51.1,-1.99,74,100,6.69,GL,1702249720
11,isafjordur,66.0755,-23.124,-2.95,87,100,3.26,IS,1702249720
12,afaahiti,-17.75,-149.2833,29.93,83,89,11.06,PF,1702249720
13,tiksi,71.6872,128.8694,-24.83,100,100,2.18,RU,1702249720
14,albany,42.6001,-73.9662,10.2,91,100,2.24,US,1702249720
15,stanley,54.868,-1.6985,6.27,96,100,1.03,GB,1702249494
16,bethel,41.3712,-73.414,14.45,90,100,4.12,US,1702249623
17,radashkovichy,54.1551,27.2424,-2.05,94,100,5.58,BY,1702249721
18,peniche,39.3558,-9.3811,16.83,94,2,4.08,PT,1702249721
19,adamstown,-25.066,-130.1015,21.08,58,0,4.33,PN,1702249721
20,tralee,52.2704,-9.7026,9.48,88,67,6.69,IE,1702249721
21,palu,-0.8917,119.8707,25.83,87,100,0.69,ID,1702249722
22,ust-nera,64.5667,143.2,-19.56,98,100,4.13,RU,1702249722
23,piton saint-leu,-21.2196,55.3151,23.06,73,20,1.54,RE,1702249722
24,hawaiian paradise park,19.5933,-154.9731,26.13,92,100,3.09,US,1702249601
25,constantia,44.1833,28.65,0.39,85,49,4.06,RO,1702249722
26,whitehorse,60.7161,-135.0538,-14.55,81,88,1.34,CA,1702249722
27,calingasta,-31.3308,-69.4078,26.93,34,8,5.53,AR,1702249722
28,atafu village,-8.5421,-172.5159,29.16,75,94,6.96,TK,1702249722
29,the pas,53.8251,-101.2541,-10.83,95,65,2.85,CA,1702249723
30,san patricio,28.017,-97.5169,17.92,22,0,3.36,US,1702249723
